Mes,Año,Observado,ACCESS-CM2_r1i1p1f1,ACCESS-ESM1-5_r1i1p1f1,ACCESS-ESM1-5_r2i1p1f1,AWI-CM-1-1-MR_r1i1p1f1,BCC-CSM2-MR_r1i1p1f1,CAMS-CSM1-0_r1i1p1f1,CAMS-CSM1-0_r2i1p1f1,CanESM5-CanOE_r1i1p2f1,CanESM5_r1i1p1f1,CanESM5_r2i1p1f1,CanESM5_r3i1p1f1,CanESM5_r4i1p1f1,CanESM5_r5i1p1f1,CESM2-WACCM_r3i1p1f1,CESM2_r1i1p1f1,CESM2_r2i1p1f1,CMCC-CM2-SR5_r1i1p1f1,CMCC-ESM2_r1i1p1f1,EC-Earth3-Veg-LR_r1i1p1f1,EC-Earth3-Veg_r2i1p1f1,EC-Earth3_r1i1p1f1,FGOALS-f3-L_r1i1p1f1,FIO-ESM-2-0_r1i1p1f1,FIO-ESM-2-0_r2i1p1f1,FIO-ESM-2-0_r3i1p1f1,GFDL-ESM4_r1i1p1f1,GISS-E2-1-G_r1i1p1f2,HadGEM3-GC31-LL_r1i1p1f3,IITM-ESM_r1i1p1f1,INM-CM4-8_r1i1p1f1,INM-CM5-0_r1i1p1f1,KACE-1-0-G_r1i1p1f1,MCM-UA-1-0_r1i1p1f2,MIROC-ES2L_r1i1p1f2,MIROC6_r1i1p1f1,MIROC6_r2i1p1f1,MIROC6_r3i1p1f1,MPI-ESM1-2-HR_r2i1p1f1,MPI-ESM1-2-LR_r1i1p1f1,MPI-ESM1-2-LR_r2i1p1f1,MPI-ESM1-2-LR_r3i1p1f1,MPI-ESM1-2-LR_r4i1p1f1,MPI-ESM1-2-LR_r5i1p1f1,MRI-ESM2-0_r1i1p1f1,NESM3_r1i1p1f1,NESM3_r2i1p1f1,NorESM2-LM_r1i1p1f1,NorESM2-MM_r1i1p1f1,TaiESM1_r1i1p1f1,UKESM1-0-LL_r1i1p1f2
12,2010,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,7.5,14.2,0.0,0.0,0.0,1.9,0.0,0.0,7.5,0.0,0.0,0.0,0.0
1,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2011,3.5,3.5,0.0,5.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5
3,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,21.9,0.0,0.0,0.0,32.0,0.5,5.9,0.0,0.0,32.0,0.0,32.0,0.0,6.5,0.5,21.9,0.0,0.0,21.9,0.0,0.0,0.0,12.5,0.0,8.0,5.5,5.5,0.0,0.0,0.0,0.2,5.9,5.9,0.0,0.0,0.0,0.0,0.5,0.0
4,2011,6.0,0.0,7.5,88.0,0.0,1.0,7.5,17.0,17.0,1.0,0.0,0.0,0.0,27.5,0.0,0.0,9.0,0.0,49.5,27.5,7.5,1.5,88.0,22.0,67.5,0.0,6.0,0.0,88.0,3.0,7.5,27.5,22.0,5.9,0.0,1.5,88.0,0.0,67.5,9.0,49.5,0.0,22.0,0.0,0.0,0.0,0.0,21.5,9.0,0.0,0.0
5,2011,0.0,23.0,26.5,47.5,0.0,14.0,0.0,202.5,26.5,23.0,5.5,0.0,47.5,0.0,0.0,64.0,47.5,7.0,64.0,23.0,0.0,7.0,42.0,134.1,134.1,15.8,85.0,117.5,24.0,134.1,85.0,10.0,184.5,81.7,5.5,23.0,85.0,184.5,69.0,81.7,7.0,10.0,184.5,69.0,0.0,15.8,5.5,87.5,69.0,26.5,0.0
6,2011,120.0,401.0,3.5,166.5,166.5,45.0,64.5,166.5,166.5,21.0,1.0,3.5,64.5,103.0,48.5,103.0,149.0,45.0,22.0,401.0,83.2,121.0,190.0,166.5,53.9,145.0,121.0,128.0,348.0,49.0,120.0,0.0,103.0,48.5,83.2,190.0,78.5,45.0,0.0,1.0,22.0,0.0,34.5,21.0,48.5,0.0,34.5,48.5,21.0,45.0,348.0
7,2011,61.5,175.0,66.5,32.5,34.0,54.5,0.0,5.5,55.0,32.5,61.5,3.4,211.0,98.5,17.0,9.5,66.5,54.5,156.3,5.5,159.0,66.5,17.0,61.5,3.4,17.0,3.4,34.4,17.0,149.5,70.6,3.4,5.5,62.0,62.0,83.0,43.5,51.0,0.0,3.4,61.5,61.8,3.4,118.0,43.5,17.0,9.0,83.0,32.5,17.0,118.0
8,2011,49.5,146.0,0.0,111.0,0.0,69.5,69.5,39.5,41.9,86.5,91.5,171.0,111.0,146.0,93.5,77.2,93.5,29.0,8.0,34.0,11.5,135.6,146.0,77.2,0.0,11.5,171.0,69.5,41.0,111.0,66.5,51.0,111.0,66.5,0.0,111.0,69.5,34.0,171.0,86.5,49.5,0.0,86.5,47.0,41.9,11.5,15.0,41.0,11.5,0.0,39.5
9,2011,1.0,24.5,2.0,13.5,0.0,0.0,2.0,1.0,0.0,22.5,24.5,15.5,123.0,44.0,132.1,16.0,3.5,16.0,19.5,0.0,22.5,11.0,21.0,9.5,30.9,44.0,10.8,44.0,123.0,123.0,0.0,18.5,109.5,24.5,16.0,0.0,0.0,13.5,0.0,0.0,26.5,109.5,26.5,21.0,3.0,24.5,22.5,0.0,3.0,9.5,2.0
10,2011,0.0,27.0,34.5,34.5,0.0,0.0,0.0,8.0,8.0,0.0,0.0,8.0,34.5,57.5,0.0,0.0,5.4,0.0,77.0,113.5,0.0,29.0,4.0,0.0,0.0,8.0,21.0,4.0,77.0,0.0,4.0,0.0,8.0,29.0,27.0,67.0,113.5,2.5,29.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
11,2011,0.0,10.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,2.0,1.5,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.5,0.0,10.0,0.0
12,2011,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2012,0.0,6.5,21.9,0.0,0.0,0.0,0.0,0.0,5.9,0.0,5.9,0.2,0.2,0.2,0.0,5.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,32.0,0.0,0.0,1.0,21.9,0.2,12.5,0.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2012,3.0,17.0,6.0,7.5,0.0,1.5,0.0,0.0,0.0,0.5,1.0,7.5,67.5,0.0,22.0,0.0,0.0,0.5,25.0,0.0,25.0,0.0,0.0,0.5,1.0,0.0,0.0,5.9,22.0,49.5,1.0,5.9,0.0,1.5,0.5,5.9,0.0,9.0,0.0,25.0,1.0,0.0,67.5,27.5,0.0,17.0,27.5,0.0,0.0,9.0,0.0
5,2012,69.0,47.5,184.5,0.0,134.1,202.5,3.0,81.7,7.0,0.0,15.0,24.0,15.0,85.0,69.0,14.0,134.1,1.0,127.2,14.0,0.0,202.5,55.5,23.0,7.0,134.1,69.0,5.5,15.0,47.5,81.7,15.0,1.0,127.2,15.0,5.5,15.0,5.5,42.0,69.0,57.5,15.0,14.0,0.0,5.5,0.0,7.0,1.0,81.7,1.0,1.0
6,2012,128.0,190.0,21.0,348.0,72.5,48.5,107.5,128.0,120.0,48.5,83.2,72.5,72.5,59.0,64.5,72.0,22.0,149.0,78.5,53.9,166.5,99.0,120.0,190.0,328.2,22.0,120.0,224.0,72.0,83.2,107.5,22.0,72.5,401.0,78.5,401.0,328.2,0.0,72.5,34.5,48.5,22.0,0.0,103.0,190.0,45.0,99.0,72.0,22.0,83.2,64.5
7,2012,0.0,94.5,94.5,159.0,0.0,3.4,51.0,61.5,61.8,61.5,50.5,94.5,118.0,156.3,156.3,175.0,54.5,156.3,51.0,43.5,156.3,118.0,0.0,0.0,61.8,9.0,51.0,43.5,34.4,175.0,51.0,54.5,159.0,175.0,66.5,94.5,55.0,175.0,98.5,156.3,66.5,43.5,5.5,61.8,98.5,211.0,3.4,27.7,0.0,43.5,43.5
8,2012,39.5,64.0,47.0,91.5,91.5,0.0,91.5,64.0,0.0,8.0,104.5,49.5,66.5,69.5,67.0,86.5,77.2,66.5,41.0,0.0,111.0,51.0,19.8,0.0,135.6,34.0,67.0,10.0,0.0,15.0,17.5,15.0,146.0,51.0,66.5,104.5,0.0,104.5,0.0,41.0,171.0,91.5,104.5,135.6,91.5,146.0,104.5,39.5,77.2,0.0,29.0
9,2012,3.5,1.0,16.0,109.5,19.5,24.5,21.0,2.0,19.5,1.0,3.0,3.5,1.0,26.5,16.0,24.0,0.0,1.0,44.0,0.0,24.0,10.8,19.5,3.0,1.0,0.0,132.1,16.0,5.0,8.5,24.0,3.0,11.0,26.5,3.5,44.0,9.5,132.1,22.5,3.0,0.0,3.5,0.0,16.0,132.1,16.0,21.0,109.5,24.5,3.5,18.0
10,2012,77.0,0.0,0.0,0.0,57.5,0.0,0.0,29.0,0.0,0.0,0.0,113.5,0.0,2.5,77.0,34.5,0.0,29.0,10.0,2.5,0.0,67.0,2.5,0.0,0.0,0.0,34.5,21.0,0.0,0.0,34.5,0.0,0.0,0.0,0.0,23.0,0.0,23.0,23.0,27.0,23.0,0.0,34.5,5.4,0.0,113.5,27.0,0.0,0.0,2.5,5.4
11,2012,2.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,5.7,8.0,0.0,0.0,0.0,5.0,0.0,0.0,15.5,2.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,33.0,3.5,0.0,0.0,0.0,33.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,5.0,0.0
12,2012,14.2,0.0,14.2,0.0,7.5,14.2,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2013,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2013,0.0,12.5,0.0,0.0,0.0,8.0,32.0,6.5,5.5,0.2,0.0,0.0,0.0,0.5,21.9,1.0,0.0,0.0,0.0,5.9,0.0,8.0,5.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.2,0.0,0.0,8.0,0.0,21.9,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,8.0,0.0,0.5,0.0,0.0
4,2013,0.0,0.0,0.0,6.0,17.0,88.0,49.5,0.5,7.5,49.5,7.5,9.0,1.5,49.5,49.5,17.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,49.5,0.0,0.0,1.5,17.0,0.0,17.0,7.5,67.5,49.5,0.0,27.5,0.0,0.0,0.0,27.5,27.5,17.0,0.0,5.9,5.9,0.0,7.5,17.0,0.0,0.0,0.0
5,2013,85.0,7.0,0.0,1.0,0.0,184.5,0.0,55.5,69.0,0.0,0.0,81.7,10.0,47.5,5.5,87.5,15.0,42.0,7.0,42.0,24.0,85.0,87.5,1.0,85.0,85.0,1.0,23.0,23.0,5.5,134.1,47.5,42.0,0.0,23.0,202.5,24.0,0.0,0.0,10.0,85.0,55.5,0.0,87.5,15.8,23.0,10.0,85.0,26.5,14.0,87.5
6,2013,48.5,145.0,22.0,34.5,83.2,3.5,348.0,83.2,72.0,348.0,21.0,78.5,190.0,0.0,224.0,64.5,48.5,83.2,166.5,120.0,1.0,128.0,72.5,64.5,99.0,224.0,48.5,48.5,21.0,121.0,72.0,21.0,45.0,64.5,48.5,59.0,107.5,348.0,3.5,166.5,78.5,120.0,166.5,0.0,348.0,22.0,53.9,128.0,103.0,59.0,21.0
7,2013,3.4,66.5,61.8,34.4,83.0,175.0,98.5,149.5,0.0,27.7,51.0,149.5,0.0,175.0,61.5,149.5,51.0,34.4,54.5,0.0,5.5,61.5,211.0,9.0,159.0,51.0,43.5,66.5,61.5,43.5,43.5,5.5,9.0,149.5,32.5,149.5,32.5,3.4,61.5,83.0,9.5,34.0,9.0,3.4,3.4,149.5,159.0,211.0,98.5,118.0,98.5
8,2013,34.0,10.0,104.5,93.5,8.0,51.0,0.0,171.0,104.5,64.0,15.0,69.5,8.0,34.0,49.5,66.5,49.5,91.5,77.2,51.0,8.0,8.0,111.0,17.5,171.0,67.0,0.0,41.0,0.0,41.0,39.5,69.5,0.0,67.0,17.5,17.5,41.9,69.5,67.0,19.8,39.5,135.6,135.6,8.0,41.0,67.0,66.5,91.5,10.0,47.0,0.0
9,2013,3.0,13.5,18.5,9.5,3.5,8.5,1.0,13.5,26.5,0.0,0.0,5.0,16.0,24.5,18.5,0.0,11.0,3.0,1.0,26.5,16.0,24.0,24.5,24.5,0.0,9.5,123.0,13.5,0.0,24.5,15.5,0.0,16.0,11.0,16.0,24.5,2.0,18.0,24.0,19.5,15.5,9.5,0.0,0.0,8.5,15.5,8.5,123.0,5.0,5.0,24.0
10,2013,0.0,2.5,4.0,0.0,0.0,29.0,57.5,16.0,0.0,16.0,0.0,4.0,4.0,4.0,5.4,0.0,0.0,4.0,21.0,0.0,27.0,0.0,57.5,0.0,57.5,0.0,0.0,27.0,16.0,4.0,10.0,10.0,2.5,0.0,10.0,21.0,0.0,8.0,67.0,34.5,113.5,5.4,4.0,0.0,4.0,0.0,0.0,29.0,8.0,0.0,67.0
11,2013,0.0,0.0,1.5,0.0,10.0,5.7,0.0,5.7,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
12,2013,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1.9,0.0,1.9,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,7.5,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0
1,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2014,0.0,32.0,0.0,0.0,8.0,32.0,0.5,0.0,0.5,0.0,0.0,0.0,8.0,6.5,5.9,8.0,0.0,12.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,32.0,6.5,6.5,0.0,0.5,0.0,1.0,21.9,1.0,0.2,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
4,2014,0.0,0.0,0.0,21.5,49.5,5.9,0.0,0.0,0.5,0.0,9.0,22.0,17.0,7.5,9.0,0.0,27.5,0.0,17.0,0.5,88.0,0.0,0.0,49.5,7.5,1.5,49.5,6.0,49.5,9.0,27.5,67.5,0.0,88.0,0.0,7.5,0.0,7.5,17.0,0.0,0.0,3.0,25.0,1.5,17.0,0.0,0.0,88.0,0.0,21.5,27.5
5,2014,7.0,15.8,87.5,14.0,81.7,24.0,202.5,24.0,202.5,117.5,0.0,0.0,0.0,64.0,0.0,0.0,15.8,3.0,0.0,0.0,55.5,117.5,24.0,7.5,57.5,10.0,0.0,1.0,202.5,24.0,42.0,184.5,0.0,85.0,202.5,81.7,0.0,85.0,15.8,0.0,0.0,15.8,64.0,5.5,202.5,10.0,0.0,81.7,47.5,23.0,64.0
6,2014,121.0,49.0,103.0,121.0,59.0,328.2,401.0,120.0,64.5,3.5,128.0,48.5,22.0,72.0,1.0,45.0,45.0,53.9,53.9,49.0,190.0,401.0,107.5,49.0,78.5,121.0,83.2,103.0,107.5,72.0,22.0,121.0,34.5,149.0,34.5,49.0,72.0,128.0,401.0,78.5,128.0,128.0,190.0,128.0,0.0,128.0,190.0,224.0,145.0,328.2,48.5
7,2014,43.5,9.5,118.0,50.5,61.8,51.0,94.5,43.5,43.5,51.0,62.0,0.0,159.0,61.5,43.5,0.0,5.5,3.4,50.5,61.5,83.0,43.5,43.5,50.5,43.5,5.5,9.5,175.0,211.0,50.5,98.5,51.0,211.0,211.0,43.5,5.5,0.0,61.5,55.0,159.0,0.0,43.5,61.8,149.5,0.0,34.4,34.4,98.5,149.5,55.0,62.0
8,2014,47.0,0.0,34.0,0.0,146.0,34.0,66.5,66.5,111.0,41.0,47.0,0.0,93.5,67.0,15.0,10.0,39.5,0.0,11.5,0.0,171.0,86.5,39.5,69.5,0.0,66.5,135.6,51.0,91.5,67.0,146.0,0.0,67.0,86.5,29.0,39.5,41.0,41.0,146.0,8.0,41.9,17.5,15.0,15.0,0.0,51.0,17.5,10.0,171.0,69.5,10.0
9,2014,18.0,22.5,26.5,1.0,13.5,0.0,9.5,30.9,132.1,19.5,0.0,0.0,3.0,21.0,13.5,8.5,22.5,10.8,109.5,15.5,3.5,15.5,24.0,2.0,18.5,3.0,109.5,19.5,24.5,0.0,18.5,0.0,18.5,132.1,109.5,13.5,3.0,0.0,132.1,15.5,0.0,0.0,15.5,13.5,0.0,9.5,2.0,24.0,21.0,30.9,19.5
10,2014,0.0,4.0,29.0,8.0,0.0,0.0,29.0,0.0,0.0,21.0,0.0,2.5,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,67.0,113.5,77.0,0.0,21.0,0.0,2.5,0.0,5.4,0.0,0.0,34.5,4.0,4.0,0.0,8.0,57.5,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0
11,2014,0.0,0.0,0.0,2.0,5.7,0.0,8.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,5.7,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,15.5,15.5,15.5,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
12,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
1,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0
3,2015,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,8.0,0.0,0.0,0.0,1.0,0.0,6.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,5.5,1.0,0.0,0.5,0.0,5.9,0.0,0.2,0.0,0.0,5.9,12.5,0.1,0.0,0.0,6.5,0.0,0.0,1.0,0.0,0.5,0.0,21.9,0.0,0.0
4,2015,0.0,0.5,0.0,0.0,0.0,0.0,0.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,67.5,1.5,22.0,0.0,0.0,6.0,0.0,0.0,0.0,27.5,6.0,3.0,7.5,3.0,0.0,0.0,0.0,0.0,6.0,25.0,0.0,7.5,1.5,5.9,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,22.0,0.0
5,2015,0.0,26.5,81.7,202.5,1.0,10.0,42.0,3.0,42.0,24.0,14.0,87.5,134.1,1.0,1.0,134.1,202.5,24.0,69.0,0.0,81.7,184.5,0.0,202.5,0.0,0.0,0.0,202.5,87.5,1.0,1.0,127.2,134.1,184.5,10.0,10.0,0.0,0.0,55.5,23.0,184.5,42.0,127.2,202.5,1.0,15.0,15.8,26.5,42.0,69.0,81.7
6,2015,0.0,59.0,72.5,107.5,128.0,78.5,121.0,45.0,48.5,72.0,49.0,107.5,348.0,224.0,48.5,128.0,328.2,166.5,49.0,78.5,21.0,59.0,53.9,34.5,72.5,72.0,48.5,121.0,328.2,145.0,64.5,48.5,348.0,348.0,348.0,145.0,22.0,72.0,128.0,328.2,121.0,72.0,45.0,48.5,166.5,166.5,0.0,72.5,120.0,190.0,59.0
7,2015,83.0,61.5,34.4,17.0,0.0,61.8,27.7,159.0,5.5,0.0,43.5,61.8,62.0,17.0,27.7,156.3,118.0,211.0,32.5,62.0,3.4,94.5,156.3,159.0,175.0,70.6,118.0,156.3,50.5,118.0,0.0,9.5,50.5,159.0,156.3,51.0,61.8,94.5,156.3,54.5,17.0,9.0,55.0,94.5,66.5,62.0,27.7,34.4,70.6,94.5,5.5
8,2015,146.0,69.5,19.8,146.0,93.5,104.5,0.0,11.5,47.0,67.0,8.0,77.2,146.0,10.0,0.0,111.0,15.0,146.0,0.0,29.0,66.5,41.9,41.9,39.5,41.9,0.0,17.5,86.5,29.0,0.0,0.0,8.0,135.6,49.5,67.0,135.6,34.0,10.0,41.0,77.2,111.0,39.5,93.5,146.0,77.2,47.0,111.0,0.0,49.5,51.0,67.0
9,2015,44.0,0.0,10.8,18.5,16.0,26.5,132.1,21.0,109.5,0.0,24.0,24.5,5.0,18.5,11.0,18.5,24.5,11.0,10.8,24.5,16.0,3.0,9.5,18.0,0.0,18.5,0.0,30.9,15.5,19.5,123.0,8.5,24.5,16.0,11.0,11.0,24.5,3.5,123.0,1.0,13.5,10.8,18.5,22.5,13.5,30.9,9.5,0.0,9.5,132.1,0.0
10,2015,67.0,0.0,0.0,0.0,34.5,34.5,0.0,0.0,67.0,27.0,0.0,0.0,29.0,113.5,57.5,4.0,67.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,34.5,10.0,5.4,57.5,21.0,21.0,0.0,0.0,2.5,0.0,0.0,21.0,10.0,16.0,27.0,21.0,0.0,2.5,0.0,0.0,0.0,113.5,67.0,0.0
11,2015,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,5.7,1.5,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,5.0,0.0,33.0,0.0,3.5,0.0,0.0,0.0,3.5,0.0,0.0,1.5,33.0
12,2015,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0
1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
